archetype,hazard_level,Mbar,Dbar,Ebar
brbf_6_ii,hz_9,7.090749,9.257493,0.94404024
brbf_6_ii,hz_10,7.1066875,8.36997,1.0496627
brbf_6_ii,hz_11,7.1179605,7.7302175,1.1401514
brbf_6_ii,hz_12,7.127195,7.2020497,1.2268682
brbf_6_ii,hz_13,7.136213,6.6862597,1.325154
brbf_6_ii,hz_14,7.1422005,6.3457866,1.3993614
brbf_6_ii,hz_15,7.147895,6.0249395,1.477768
brbf_6_ii,hz_16,7.153868,5.6929297,1.5695709
brbf_6_ii,hz_17,7.158085,5.4621444,1.6412101
brbf_6_ii,hz_18,7.161218,5.292929,1.6986259
brbf_6_ii,hz_19,7.1654243,5.069137,1.7820885
brbf_6_ii,hz_20,7.1691117,4.876243,1.8622073
brbf_6_ii,hz_21,7.1718063,4.737295,1.9255123
brbf_6_ii,hz_22,7.1738334,4.633797,1.976195
brbf_6_ii,hz_23,7.175699,4.5392447,2.0254729
brbf_6_ii,hz_24,7.1785917,4.393816,2.1076055
brbf_6_ii,hz_25,7.180726,4.287048,2.1735487
brbf_6_ii,hz_26,7.1880426,3.9156141,2.453019
brbf_6_ii,hz_27,7.1943254,3.500424,2.9211051
brbf_6_ii,hz_28,7.193978,3.294119,3.276066
brbf_6_ii,hz_29,7.188404,3.1357424,3.6610725
brbf_6_iv,hz_1,6.186371,41.159878,-0.3833517
brbf_6_iv,hz_2,6.513656,25.850988,0.04889513
brbf_6_iv,hz_3,6.6827655,20.493635,0.30477813
brbf_6_iv,hz_4,6.79181,17.082706,0.48776266
brbf_6_iv,hz_5,6.864257,14.675897,0.631182
brbf_6_iv,hz_6,6.9148703,12.891258,0.75393635
brbf_6_iv,hz_7,6.952431,11.504309,0.866255
brbf_6_iv,hz_8,6.984629,10.272626,0.98528177
brbf_6_iv,hz_9,7.005325,9.461424,1.0777917
brbf_6_iv,hz_10,7.0267487,8.60744,1.191865
brbf_6_iv,hz_11,7.041073,8.029502,1.2817616
brbf_6_iv,hz_12,7.053416,7.5277166,1.3704728
brbf_6_iv,hz_13,7.065764,7.022618,1.4722768
brbf_6_iv,hz_14,7.073994,6.6842766,1.5490673
brbf_6_iv,hz_15,7.081185,6.3874383,1.6232651
brbf_6_iv,hz_16,7.089806,6.029695,1.7227705
